,loss,hamming_loss,micro_f1,macro_f1,micro_precision,micro_recall
Word2Vec,0.12395913000144655,0.037660714285714283,0.2465166130760986,0.09369932103198643,0.7263157894736842,0.14845094664371772
GloVe,0.1331952546560575,0.039267857142857146,0.23619312261201805,0.05865654988741724,0.6126126126126126,0.14629948364888123
FastText,0.12375130232364412,0.037767857142857145,0.27394438722966014,0.08745850940563457,0.6774193548387096,0.1716867469879518
BERT,0.12727691209505473,0.039285714285714285,0.1863905325443787,0.03620822683259637,0.6631578947368421,0.10843373493975904
